name	gender	id	subid	countryId
Jozsef Borsos	m	1982BORS01	1	Serbia
Roland Brinkmann	m	1982BRIN01	1	Germany
Julian Chilvers	m	1982CHIL01	1	United Kingdom
Jessica Fridrich	f	1982FRID01	1	USA
Jessica Fridrich	f	1982FRID01	2	Czech Republic
Manuel Galrinho	m	1982GALR01	1	Portugal
Jerome Jean-Charles	m	1982JEAN01	1	France
Zoltán Lábas	m	1982LABA01	1	Hungary
Luc Van Laethem	m	1982LAET01	1	Belgium
Lars Petrus	m	1982PETR01	1	Sweden
Guus Razoux Schultz	m	1982RAZO01	1	Netherlands
Giuseppe Romeo	m	1982ROME01	1	Italy
Jari Sandqvist	m	1982SAND01	1	Finland
Piotr Serbeński	m	1982SEBE01	1	Poland
Svilen Tenev	m	1982TENE01	1	Bulgaria
Minh Thai	m	1982THAI01	1	USA
Josef Trajber	m	1982TRAJ01	1	Austria
Duc Trinh	m	1982TRIN01	1	Canada
Ken'ichi Ueno (上野健一)	m	1982UENO01	1	Japan
Eduardo Valdivia Chacon	m	1982VALD01	1	Peru
Masayuki Akimoto (秋元正行)	m	2003AKIM01	1	Japan
Rafael Algarin	m	2003ALGA01	1	USA
David Allen	m	2003ALLE01	1	USA
Joe Allen	m	2003ALLE02	1	USA
Michael Atkinson	m	2003ATKI01	1	USA
Paul Attar	m	2003ATTA01	1	Canada
Peter Babcock	m	2003BABC01	1	USA
Frédérick Badie	m	2003BADI01	1	France
David Barr	m	2003BARR01	1	USA
Joe Barratt	m	2003BARR02	1	United Kingdom
Andy Bellenir	m	2003BELL01	1	USA
Michiel van der Blonk	m	2003BLON01	1	Netherlands
Iliya Bluskov	m	2003BLUS01	1	Canada
Jess Bonde	m	2003BOND01	1	Denmark
Jonathan Bouthilet	m	2003BOUT01	1	USA
Kenneth Brandon	m	2003BRAN01	1	USA
Kevin Brandon	m	2003BRAN02	1	USA
Wes Brandon	m	2003BRAN03	1	Canada
Ron van Bruchem	m	2003BRUC01	1	Netherlands
Bob Burton	m	2003BURT01	1	USA
Rob Butler	m	2003BUTL01	1	USA
Andy Camann	m	2003CAMA01	1	USA
Nick Cegelka	m	2003CEGE01	1	USA
Ton Dennenbroek	m	2003DENN01	1	Netherlands
Corey Duford	m	2003DUFO01	1	Canada
Justin Eastman	m	2003EAST01	1	Canada
Michal Falmyk	m	2003FALM01	1	Canada
Jeff Goetz	m	2003GOET01	1	USA
Mirek Goljan	m	2003GOLJ01	1	Czech Republic
Jay Goodell	m	2003GOOD01	1	USA
Carvo Grant	m	2003GRAN01	1	USA
Chris Hardwick	m	2003HARD01	1	USA
Cory Harnish	m	2003HARN01	1	Canada
Dan Harris	m	2003HARR01	1	United Kingdom
Shiraz Hazrat	m	2003HAZR01	1	USA
Koen Heltzel	m	2003HELT01	1	Netherlands
Jason Hildebrand	m	2003HILD01	1	USA
Peter Jansen	m	2003JANS01	1	Netherlands
Eric Johanson	m	2003JOHA01	1	USA
Kirt Jozwiak	m	2003JOZW01	1	USA
Ryan Knapton	m	2003KNAP01	1	USA
Dan Knights	m	2003KNIG01	1	USA
Elizabeth Knights	f	2003KNIG02	1	USA
Katsuyuki Konishi (小西克幸)	m	2003KONI01	1	Japan
Anders Larsson	m	2003LARS01	1	Sweden
Benjamin LeBlond	m	2003LEBL01	1	Canada
Jasmine Lee	f	2003LEEJ01	1	Australia
Marty Licht	m	2003LICH01	1	USA
Doug Li	m	2003LIDO01	1	USA
Heath Litton	m	2003LITT01	1	USA
Mark Longridge	m	2003LONG01	1	Canada
Shotaro Makisumi (牧角章太郎)	m	2003MAKI01	1	Japan
Frédéric Martineau	m	2003MART01	1	Canada
Gene Means	m	2003MEAN01	1	USA
Jim Mittan	m	2003MITT01	1	USA
Brent Morgan	m	2003MORG01	1	USA
Frank Morris	m	2003MORR01	1	USA
Jon Morris	m	2003MORR02	1	USA
Suzanne Papin	f	2003PAPI01	1	USA
Richard Patterson	m	2003PATT01	1	USA
Bob Peters	m	2003PETE01	1	Canada
Stefan Pochmann	m	2003POCH01	1	Germany
Yasmara Pourrier	f	2003POUR01	1	Netherlands
Michael Powers	m	2003POWE01	1	USA
Iman Rastegari	m	2003RAST01	1	USA
Jake Rueth	m	2003RUET01	1	USA
Keith Sauer	m	2003SAUE01	1	USA
Andy Savoy	m	2003SAVO01	1	USA
Jaap Scherphuis	m	2003SCHE01	1	Netherlands
Adam Slate	m	2003SLAT01	1	USA
Guido Staub	m	2003STAU01	1	Switzerland
Kevin Swan	m	2003SWAN01	1	Canada
Dave Swart	m	2003SWAR01	1	Canada
Michael Swart	m	2003SWAR02	1	Canada
Thomas Templier	m	2003TEMP01	1	France
Sandy Thompson	m	2003THOM01	1	Canada
Matthew Tingle	m	2003TING01	1	Canada
Betty Tregay	f	2003TREG01	1	USA
Grant Tregay	m	2003TREG02	1	USA
Lars Vandenbergh	m	2003VAND01	1	Belgium
