id	competition_id	championship_type
506	ACA5thAnniversary2020	AZ
328	ACARO2016	HK
170	AFSwedishCubeOpen2016	SE
326	AlbanianOpen2018	AL
414	AlbanianOpen2019	AL
296	Andorra2017	AD
487	Andorra2019	AD
765	AndorranChampionship2024	AD
923	AndorranChampionship2025	AD
426	ArnoldClassicAfrica2019	ZA
10	AsianChampionship2010	_Asia
11	AsianChampionship2012	_Asia
329	AsianChampionship2012	HK
12	AsianChampionship2014	_Asia
98	AsianChampionship2014	JP
13	AsianChampionship2016	_Asia
37	AsianChampionship2016	greater_china
354	AsianChampionship2018	_Asia
21	AustralianNationals2010	AU
22	AustralianNationals2011	AU
23	AustralianNationals2012	AU
24	AustralianNationals2013	AU
25	AustralianNationals2014	AU
26	AustralianNationals2015	AU
27	AustralianNationals2016	AU
28	AustralianNationals2017	AU
389	AustralianNationals2018	AU
489	AustralianNationals2020	AU
508	AustralianNationals2021	AU
538	AustralianNationals2022	AU
582	AustralianNationals2023	AU
721	AustralianNationals2024	AU
854	AustralianNationals2025	AU
509	AustralianNationalsFMC2022	AU
611	AustralianNationalsFMC2023	AU
754	AustralianNationalsFMC2024	AU
927	AustralianNationalsFMC2025	AU
555	AzerbaijanNationals2022	AZ
670	AzerbaijanNationals2023	AZ
324	BanjaLukaOpen2017	BA
350	BanjaLukaOpen2018	BA
770	Barbados2025	BB
968	Barbados2026	BB
442	BelarusNationals2019	BY
567	BelgianNationals2022	BE
675	BelgianNationals2023	BE
799	BelgianNationals2024	BE
951	BelgianNationals2025	BE
322	BIHOpen2012	BA
29	BoliviaNationals2016	BO
367	BoliviaNationals2018	BO
490	BoliviaNationals2019	BO
630	BoliviaNationals2023	BO
811	BoliviaNationals2024	BO
900	BoliviaNationals2025	BO
828	BoliviaNationalsFMC2024	BO
967	BoliviaNationalsFMC2025	BO
323	BosniaandHerzegovinaOpen2016	BA
30	Brasileiro2013	BR
34	Brasileiro2016	BR
35	Brasileiro2017	BR
341	Brasileiro2018	BR
32	BrasileiroInverno2014	BR
848	BulgarianNationals2024	BG
778	CambodiaChampionship2024	KH
473	CambodiaCubingChampionship2019	KH
438	CampeonatoBrasileiro2019	BR
665	CampeonatoBrasileiro2023	BR
736	CampeonatoBrasileiro2024	BR
866	CampeonatoBrasileiro2025	BR
666	CampeonatoBrasileiroFMC2023	BR
812	CampeonatoBrasileiroFMC2024	BR
881	CampeonatoBrasileiroFMC2025	BR
136	CampeonatodePortugal2015	PT
883	CampeonatoNacional2012	CL
884	CampeonatoNacional2013	CL
214	CampeonatoNacionalPerubik2017	PE
215	CampeonatoSudamericano2013	_South America
440	CanadianChampionship2019	CA
603	CanadianChampionship2023	CA
265	CanadianOpen2007	CA
264	CanadianOpen2009	CA
263	CanadianOpen2011	CA
262	CanadianOpen2013	CA
261	CanadianOpen2015	CA
260	CanadianOpen2017	CA
902	CancelledCostaRicaNationals2025	CR
521	CancelledEstonianOpen2021	EE
844	ChampionnatCanadien2025	CA
36	ChinaChampionship2015	greater_china
38	ChinaChampionship2017	greater_china
365	ChinaChampionship2018	greater_china
433	ChinaChampionship2019	greater_china
501	ChinaChampionship2020	greater_china
416	ColombiaNationals2012	CO
417	ColombiaNationals2014	CO
374	ColombiaNationals2018	CO
585	ColombiaNationals2022	CO
784	ColombianNationals2024	CO
936	ColombianNationals2025	CO
