pos	best	average	value1	value2	value3	value4	value5	competitionId	eventId	roundTypeId	personName	personId	formatId	regionalSingleRecord	regionalAverageRecord	personCountryId
15	1968	2128	1968	2203	2138	2139	2108	LyonOpen2007	333	1	Etienne Amany	2007AMAN01	a	AfR	AfR	Cote d_Ivoire
16	1731	2140	2222	2153	1731	2334	2046	LyonOpen2007	333	1	Thomas Rouault	2004ROUA01	a	NULL	NULL	France
17	2305	2637	3430	2581	2540	2789	2305	LyonOpen2007	333	1	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
18	2452	2637	2715	2452	2868	2632	2564	LyonOpen2007	333	1	Irène Mallordy	2007MALL01	a	NULL	NULL	France
19	2677	2906	2921	3184	2891	2677	2907	LyonOpen2007	333	1	Marlène Desmaisons	2007DESM01	a	NULL	NULL	France
20	1869	2910	3309	1869	2558	2930	3241	LyonOpen2007	333	1	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
21	2411	2910	2530	2696	2411	5512	3503	LyonOpen2007	333	1	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
22	2385	3111	2844	3861	2628	3885	2385	LyonOpen2007	333	1	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
23	2639	3111	3084	3163	3087	3498	2639	LyonOpen2007	333	1	Christophe Woittequand	2005WOIT01	a	NULL	NULL	France
24	2687	3265	3387	3034	3373	3430	2687	LyonOpen2007	333	1	Georges Poinsot	2007POIN01	a	NULL	NULL	France
25	2934	3337	4006	3495	3563	2953	2934	LyonOpen2007	333	1	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
26	3062	3949	4273	4303	3688	3062	3885	LyonOpen2007	333	1	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
27	3609	4430	4497	3609	4541	4367	4425	LyonOpen2007	333	1	Guillaume Terrancle	2007TERR01	a	NULL	NULL	France
28	4416	4894	4700	5140	6938	4416	4841	LyonOpen2007	333	1	Maria Oey	2007OEYM01	a	NULL	NR	Indonesia
29	3727	5327	5443	3727	5929	5633	4906	LyonOpen2007	333	1	Olivier Pibarot	2007PIBA01	a	NULL	NULL	France
30	5484	8876	12321	8187	13066	5484	6119	LyonOpen2007	333	1	Pierre-Baptiste Boccard	2007BOCC01	a	NULL	NULL	France
1	1141	1242	1433	1272	1200	1141	1253	LyonOpen2007	333	2	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
2	1168	1320	1274	1432	1475	1255	1168	LyonOpen2007	333	2	Jean Pons	2004PONS01	a	NULL	NULL	France
3	1078	1374	1469	1180	1078	1680	1473	LyonOpen2007	333	2	Joël van Noort	2004NOOR01	a	NR	NULL	Netherlands
4	1240	1427	1652	1363	1240	1584	1335	LyonOpen2007	333	2	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	1346	1624	1802	1918	1504	1565	1346	LyonOpen2007	333	2	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
6	1453	1626	2152	1583	1453	1579	1717	LyonOpen2007	333	2	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
7	1522	1758	1715	1815	1522	1744	1846	LyonOpen2007	333	2	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
8	1630	1764	1762	1842	1887	1630	1689	LyonOpen2007	333	2	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
9	1466	1815	2197	1585	1466	2903	1664	LyonOpen2007	333	2	Gilles Roux	2004ROUX01	a	NULL	NULL	France
10	1621	1853	2859	1972	1807	1780	1621	LyonOpen2007	333	2	Guillaume Meunier	2004MEUN01	a	NULL	NULL	France
11	1650	1859	1936	1650	1831	2268	1811	LyonOpen2007	333	2	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
12	1645	1899	1913	1645	1869	2574	1916	LyonOpen2007	333	2	Thomas Rouault	2004ROUA01	a	NULL	NULL	France
13	1655	1899	2281	1793	1655	1857	2046	LyonOpen2007	333	2	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
14	1684	1947	1957	1684	1812	2209	2072	LyonOpen2007	333	2	Stefan Huber	2007HUBE01	a	NULL	NR	Austria
15	1985	2124	2571	2119	1985	2028	2225	LyonOpen2007	333	2	Frédérick Badie	2003BADI01	a	NULL	NULL	France
16	1696	2233	2453	1799	2446	2582	1696	LyonOpen2007	333	2	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
17	2224	2640	2456	2853	3046	2610	2224	LyonOpen2007	333	2	Etienne Amany	2007AMAN01	a	NULL	NULL	Cote d_Ivoire
18	2390	2735	3234	3125	2439	2390	2640	LyonOpen2007	333	2	Marlène Desmaisons	2007DESM01	a	NULL	NULL	France
19	2506	2779	2506	3165	-1	2595	2578	LyonOpen2007	333	2	Irène Mallordy	2007MALL01	a	NULL	NULL	France
20	2628	2916	3038	3190	2628	2710	2999	LyonOpen2007	333	2	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
21	1786	2933	2078	1943	1786	-1	4778	LyonOpen2007	333	2	Clément Gallet	2004GALL02	a	NULL	NULL	France
1	1059	1271	1452	1191	1171	1059	1884	LyonOpen2007	333	f	Jean Pons	2004PONS01	a	NULL	NULL	France
2	1205	1320	1271	1743	1309	1205	1379	LyonOpen2007	333	f	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
3	1197	1395	1552	1246	1197	1606	1387	LyonOpen2007	333	f	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
4	1292	1424	1292	1388	1573	1409	1476	LyonOpen2007	333	f	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	1383	1603	1743	2249	1598	1469	1383	LyonOpen2007	333	f	Gilles Roux	2004ROUX01	a	NULL	NULL	France
6	1601	1615	1601	1612	1612	1620	1776	LyonOpen2007	333	f	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
7	1444	1616	1741	1444	1725	1478	1646	LyonOpen2007	333	f	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
8	1575	1707	1717	1691	1712	1831	1575	LyonOpen2007	333	f	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
9	1811	2131	-1	2013	2294	2087	1811	LyonOpen2007	333	f	Guillaume Meunier	2004MEUN01	a	NULL	NULL	France
1	1858	2410	2646	1858	2339	2724	2244	LyonOpen2007	333oh	d	Rama Temmink	2006TEMM01	a	NR	NR	Netherlands
2	1865	2445	2605	1865	2176	3034	2555	LyonOpen2007	333oh	d	Gilles van den Peereboom	2005PEER01	a	NR	NR	Belgium
3	2269	2530	2269	2484	2596	2511	-1	LyonOpen2007	333oh	d	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
4	2492	2770	2704	3136	2941	2492	2666	LyonOpen2007	333oh	d	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
5	2281	2894	3107	3008	2281	2566	3267	LyonOpen2007	333oh	d	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
6	2669	3082	5954	2669	3211	2698	3336	LyonOpen2007	333oh	d	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
7	3303	4194	5057	4653	3303	4056	3872	LyonOpen2007	333oh	d	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
8	3544	4239	4628	4281	3544	4638	3807	LyonOpen2007	333oh	d	Clément Gallet	2004GALL02	a	NULL	NULL	France
9	4527	4764	4871	4527	4846	4575	5608	LyonOpen2007	333oh	d	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
10	4494	4938	4505	4856	4494	5453	6080	LyonOpen2007	333oh	d	Gilles Roux	2004ROUX01	a	NULL	NULL	France
11	5388	5906	6071	5616	6031	-1	5388	LyonOpen2007	333oh	d	Stefan Huber	2007HUBE01	a	NR	NR	Austria
12	5704	6795	5714	7177	7836	5704	7493	LyonOpen2007	333oh	d	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
13	6084	0	6388	6084	0	0	0	LyonOpen2007	333oh	d	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
14	6684	0	8840	6684	0	0	0	LyonOpen2007	333oh	d	Christophe Woittequand	2005WOIT01	a	NULL	NULL	France
15	7259	0	7259	7733	0	0	0	LyonOpen2007	333oh	d	Etienne Amany	2007AMAN01	a	NR	NULL	Cote d_Ivoire
16	8467	0	8467	8620	0	0	0	LyonOpen2007	333oh	d	Irène Mallordy	2007MALL01	a	NULL	NULL	France
17	13775	0	14941	13775	0	0	0	LyonOpen2007	333oh	d	Laetitia Lemoine	2007LEMO01	a	NULL	NULL	France
1	2094	2186	2108	2622	2094	2171	2278	LyonOpen2007	333oh	f	Rama Temmink	2006TEMM01	a	NULL	ER	Netherlands
2	2273	2507	2931	2833	2411	2273	2277	LyonOpen2007	333oh	f	Edouard Chambon	2004CHAM01	a	NULL	NULL	France
3	2414	2581	2556	2518	2414	2668	2675	LyonOpen2007	333oh	f	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
4	2457	2673	2834	2593	2457	2593	-1	LyonOpen2007	333oh	f	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
5	2672	2817	2869	2858	2723	3377	2672	LyonOpen2007	333oh	f	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
6	3031	3334	3147	3510	3806	3031	3344	LyonOpen2007	333oh	f	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
7	3618	4012	3618	4313	4015	3924	4096	LyonOpen2007	333oh	f	Clément Gallet	2004GALL02	a	NULL	NULL	France
8	3571	4280	4708	3571	3933	6071	4200	LyonOpen2007	333oh	f	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
1	6249	6611	8134	6718	6512	6249	6602	LyonOpen2007	444	c	Jean Pons	2004PONS01	a	NULL	NULL	France
2	6696	7105	6696	6982	8692	6954	7380	LyonOpen2007	444	c	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
3	5819	7269	8756	8022	5819	7139	6646	LyonOpen2007	444	c	Thibaut Jacquinot	2006JACQ01	a	NULL	NULL	France
4	6822	7605	6891	10037	8402	7522	6822	LyonOpen2007	444	c	Frédérick Badie	2003BADI01	a	NULL	NULL	France
5	7667	8703	9763	8318	8331	7667	9461	LyonOpen2007	444	c	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
6	7943	8726	9415	8331	7943	8698	9148	LyonOpen2007	444	c	Clément Gallet	2004GALL02	a	NULL	NULL	France
7	8490	8833	8657	10153	8490	8769	9074	LyonOpen2007	444	c	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	7131	9390	9565	9451	9153	7131	9851	LyonOpen2007	444	c	Thomas Watiotienne	2007WATI01	a	NULL	NULL	France
9	8516	9537	10275	8516	9794	9547	9270	LyonOpen2007	444	c	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
10	8346	9641	9186	9600	10136	8346	10651	LyonOpen2007	444	c	Gilles Roux	2004ROUX01	a	NULL	NULL	France
11	8890	10391	10870	10231	10946	8890	10072	LyonOpen2007	444	c	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
12	10171	11797	11641	12742	10171	14002	11009	LyonOpen2007	444	c	Antoine Simon-Chautemps	2005SIMO01	a	NULL	NULL	France
13	12331	0	12331	14206	0	0	0	LyonOpen2007	444	c	Cyrille Cornu	2007CORN01	a	NULL	NULL	France
14	13936	0	13936	-1	0	0	0	LyonOpen2007	444	c	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
15	18544	0	18544	18731	0	0	0	LyonOpen2007	444	c	Jean-Louis Mathieu	2006MATH01	a	NULL	NULL	France
16	25774	0	29040	25774	0	0	0	LyonOpen2007	444	c	Maria Oey	2007OEYM01	a	NR	NULL	Indonesia
1	11108	11731	11509	-1	11108	12306	11377	LyonOpen2007	555	c	Frédérick Badie	2003BADI01	a	NULL	NULL	France
2	12051	12294	12071	19266	12191	12619	12051	LyonOpen2007	555	c	Rama Temmink	2006TEMM01	a	NULL	NULL	Netherlands
3	12453	13688	12453	14571	13548	12946	14657	LyonOpen2007	555	c	Lars Vandenbergh	2003VAND01	a	NULL	NULL	Belgium
4	13281	14193	14182	14793	15652	13605	13281	LyonOpen2007	555	c	Joël van Noort	2004NOOR01	a	NULL	NULL	Netherlands
5	13795	16272	13795	17440	15838	15899	17079	LyonOpen2007	555	c	Clément Gallet	2004GALL02	a	NULL	NULL	France
6	15528	16968	19713	17262	17042	15528	16599	LyonOpen2007	555	c	Arnaud van Galen	2006GALE01	a	NULL	NULL	Netherlands
7	15560	18032	17869	18258	19081	17970	15560	LyonOpen2007	555	c	Gilles van den Peereboom	2005PEER01	a	NULL	NULL	Belgium
8	18853	19691	21255	20426	19156	19490	18853	LyonOpen2007	555	c	Aurelien Souchet (高凡)	2006SOUC01	a	NULL	NULL	France
9	27100	0	31412	27100	0	0	0	LyonOpen2007	555	c	Ton Dennenbroek	2003DENN01	a	NULL	NULL	Netherlands
10	30156	0	30156	-1	0	0	0	LyonOpen2007	555	c	Gilles Roux	2004ROUX01	a	NULL	NULL	France
1	16910	-1	-1	-1	16910	0	0	LyonOpen2007	333bf	f	Clément Gallet	2004GALL02	3	NULL	NULL	France
2	21930	-1	27568	-1	21930	0	0	LyonOpen2007	333bf	f	Joël van Noort	2004NOOR01	3	NULL	NULL	Netherlands
3	21969	-1	-1	21969	-1	0	0	LyonOpen2007	333bf	f	Jean Pons	2004PONS01	3	NULL	NULL	France
