id	format	name	rank	cellName
222	time	2x2x2 Cube	20	2x2x2 Cube
333	time	3x3x3 Cube	10	3x3x3 Cube
333bf	time	3x3x3 Blindfolded	70	3x3x3 Blindfolded
333fm	number	3x3x3 Fewest Moves	80	3x3x3 Fewest Moves
333ft	time	3x3x3 With Feet	996	3x3x3 With Feet
333mbf	multi	3x3x3 Multi-Blind	180	3x3x3 Multi-Blind
333mbo	multi	3x3x3 Multi-Blind Old Style	999	3x3x3 Multi-Blind Old Style
333oh	time	3x3x3 One-Handed	90	3x3x3 One-Handed
444	time	4x4x4 Cube	30	4x4x4 Cube
444bf	time	4x4x4 Blindfolded	160	4x4x4 Blindfolded
555	time	5x5x5 Cube	40	5x5x5 Cube
555bf	time	5x5x5 Blindfolded	170	5x5x5 Blindfolded
666	time	6x6x6 Cube	50	6x6x6 Cube
777	time	7x7x7 Cube	60	7x7x7 Cube
clock	time	Clock	110	Clock
magic	time	Magic	997	Magic
minx	time	Megaminx	120	Megaminx
mmagic	time	Master Magic	998	Master Magic
pyram	time	Pyraminx	130	Pyraminx
skewb	time	Skewb	140	Skewb
sq1	time	Square-1	150	Square-1
